,indonesian,acehnese,banjarese,english,madurese,ngaju,sundanese,balinese,buginese,javanese,minangkabau,toba_batak
369,Bosan dengan dunia ini yang penuh dengan kemunafikan,Get that glak ngon donya nyang penoh ngon hai-hai munafek,Dulak lawan dunia ini nang hibak lawan kamunafikan,Bored of this world so full of hypocrisy.,Bhusen bik dunnya ria se bannyak kamunafikan.,Peda belai dengan dunia tuh ji kuntep dengan kemunafikan,Bosen ka dunya ieu nu pinuh ku kamunafikan,Med teken gumine puniki sane liu ajak kemunafikan.,Cauka' mitai lino e iya pennoe amunapikeng,Bosen karo donya iki sing kebak karo kamunafikan,Bosan jo dunia ko yang panuah jo kamunafikan,Ngolngolan do diportibi namangilas on na gok sipalessem.
370,Orang sekarang kebanyakan sulit menghargai orang lain,Ureng lawet nyoe lee yang hana peumulia gop,Urang wahini banyak ngalih mahargai urang lain.,People find it hard to appreciate others nowadays.,Oreng satiya kabennya'an sarah aregghei oreng laen,Uluh metuh tuh tepeare bahali merega uluh beken.,Jalmi ayeuna lolobana hese ngahargaan batur,Anak jani liunan keweh menghargai anak len ,Taue makkokkoe maegangngi mawatang pakarajai rupa tau laingnge,Uwong saiki akeh sing engel ngregani uwong liya,Urang kini kabanyakan sulik maharagoi urang lain,Jolma saonari godangan maol pasangaphonjolma na asing.
371,Tempat ini mengimingi makan steak dan daging dengan harga murah. Namun kenyataannya tidak murah jika dibandingkan dengan kualitas dagingnya yang tidak enak. Dagingnya keras dan rasanya hambar.,Tempat nyoe dipeugah-peugah adalah tempat pajoh steak dan sie ngoen yum murah. Tapi nyatajih hana murah meunyo ta bandeng ngon kualitah sie nyang hana mangat. Siejih hana lumpok dan tabeue.,Wadah ini maunjai makan steak wan daging lawan haraga murah. Tapi kanyataannya kada murah mun disamakan lawan kualitas dagingnya nang kada nyaman. Dagingnya karas wan rasanya hambar.,"This place promised steaks and meat for a low price. But in reality, it wasn't really that low compared to the quality of the meat, which wasn't good at all. The meat was tough and had no flavur.",Kennengngan ria materro ngakan steak daghing bik raggha se ngoda. Nangeng saongghuna ta' ngoda mon e bandingaghi bik kualitas daghingnga se ta' nyaman. Daghingnga liya' ban tada' rassana.,Eka jituh promosi kuman steak  dengan isin rega murah. Baya kejarian te diak murah amun imbanding dengan mutu isin te ji diak mangat. Isi te baliat dengan angat te betawah sebeau.,Tempat ieu ngiming-ngiming tuang steak sareng daging nu hargina mirah. Mung nyatana teu mirah upami dibandingkeun jeung kualitas dagingna nu teu raos. Dagingna heuras tur rasana hambar.,Genah ne puniki ngemang ajengan steak lan be sareng aji sane mudah. Sakewale kenyataane tusing mudah yening kabandingang antuk kualitas be ne sane ten jaen . be ne katos lan sing mease apa.,Iye anroangnge napakkacinnaki manre steak sibawa juku iyae masempoe ellinna. Iyamiro nasaba yako laiyitai de na masempo yako laipasibaliwi sibawa akanjakenna jukuna iya de namalunra'. Juku na makeddo sibawa rasana makemme. ,Panggonan iki ngiming-ngimingi panganan steak lan iwak kanthi rega murah. Nanging kasunyatane ora murah yen dibandingake karo kualitas iwake sing ora enak. Iwake atos lan rasane cemplang.,Tampek ko maimingi makan steak jo dagiang jo hargo murah. Tapi sabananyo ndak murah kalau dibandiangan jo kualitas dagiangnyo yang ndak lamak. Dagiangnyo kareh dan rasonyo amba.,"Inganan on nuaeng patupahon stik dohot jagal na mura argana, alai dang na mura sasintongna molo dibandinghon tu bagak ni jagal na, na so tabo alana karas jala so mardai do jagal i"
372,Pagi sudah marah-marah karena pelayanan di bank cabang sanur yang tidak professional dan mengecewakan! Tidak salah banyak penilaian customer jelek.,Beungoh-beungoh ka icah seubab pelayanan bank cabang sanur hana profesional ngon brok that! Hana salah le that awak bri nilai brok,Bisukan sudah sarik-sarik gara-gara palayanan di bank cabang sanur nang kada profesional wan mambari muar! Kada salah banyak panilaian palanggan kada baik.,Early morning and I'm already fuming at the Sanur bank branch's unprofessional and disappointing service. No wonder the customer reviews were all negative,Lagghu la aghighir polana palayananna e bank cabang sanur se tak professional ben ngacewaagi ! tak sala mun benyak penilaian customer jhubek.,Hanjewu jadi singi-singik awi pelayanan hong bank cabang sanur ji diak profesional dengan mengecewakan. Diak sala are penilaian pelanggan diak bahalap.,Isuk geus ambek-ambeukan kusabab pelayanan di bank cabang sanur nu teu profesional jeung nguciwakeun! Teu salah loba penilaian pelanggan goreng.,Semeng suba ngopak-ngopak krana pelayanan di bank cabang sanur ane sing profesional lan ngae kuciwa! Sing pelih liu penilaian customer jelek.,Maele macai-cai nasaba' pangadarenna bank e cabang sanur iya de e na profesional sibawa mappasara nyawa! De nasala naseng maega costumer e maka ja.,Isuk wis nesu-nesu merga pelayanan ning bank cabang sanur sing ora profesional lan nggelakne! Ora salah akeh penilaian pelanggan elek.,Pagi alah berang-berang dek pelayanan di bank cabang sanur nan ndak profesional dan mangecewaan! Ndak salah banyak panilaian customer buruak.,Manogot nungga muruk-muruk alani panghobasion ni bank cabang Sanur naso profesional dohot mengecewahon! Dang sala godang pelanggan namenilai roa.
373,Pergi untuk makan siang bersama 6 keluarga yang terdiri dari orang dewasa dan anak anak. Kami mendapatkan saung yang jauh di atas. Kebayang dong jalan ke atas yang sangat melelahkan. Tempatnya memang bagus tapi lokasi saung yang sangat jauh dan melelahkan menuju ke atas. Saran saya kalau mau ke situ jangan pas makan siang karena pasti penuh. Harga makanan lumayan misil. Tapi pemandangannya bagus sekali.,Jak pajoh bu leuho ngon 6 keuluarga dari ureueng rayek trok aneuk miet. Kamoe meuteumee jambo nyang jioh diateuh. Jeuet tabayang kiban jioh jalan u ateuh nyang that hek. Teumpatjih memang lagak tapi lokasi jambo nyang jioh that dan hek tajak u ateuh. Saran lon meunyo jak keunan bek pah watee bu leuho saweueb pasti peunoh Yum makanan sep meuhai Tapi peumandangan kop lagak,Tulakan gasan makan siang beanam sakaluargaan mulai nang tetuha wan kekanakan. Buhan kami dapat saung nang jauh teke atas. Tebayang ai lo bejalan ke atas ngitu nang melapahi banar. Wadahnya dasar bagus pang tapi lokasi saung nang jauh banar dan melapahi naik ke atasnya. Mun jar ulun baiknya mun handak ka situ kada usah rahatan urang makan siang jua karena pasti hibak. Haraga makanannya mayan misil. Tagal pamandangannya tuh dasar baik banar.,"Went to have luch with 6 family members consisting of adults and children. We got a grotto that was far up above. Could you imagine walking to the top? Of course it was very tiring. The place was good overall, yes, but the faraway location of the grotto and the exhausting trip up was just.... My advice is if you wanna go there, don't go during lunch cuz it's sure to be full. The price was quite high. But the view was breathtaking.",Mangkat ghabay ngakan tengnga are bhareng 6 kaloargha se terdiri dari orang dhibasa ban nak kanak. Engko' bik laenna olle saong se jhau e attas. Kenneng bayangaghi jhalan ka attas se makaso ongghu. Kennenganna jhat bhaghus tape kennengngan saong se jhau ongghu ban kaso nojjhu ka attas. Saranna engko' mon entara ka dissa' jha' baktona ngakan seyang amargha paste tak nemmo kennengngan. Raggha kakananna pendhenan. Tape pamandhanganna bhaghus ongghu.,Susung hanjewu handak basingi ih dengan sinyal telkomsel.,Angkat kanggo tuangeun sareng 6 kulawarga nu dewasa sareng murangkalih. Urang kenging saung anu tebih diluhur. Bayangkeun we jalanna kedah kaluhur pasti cape pisan. Tempatna mah alus tapi lokasi saungna tebih jeung cape deui kaluhurna. Saran ti simkuring upami anjeun bade kaditu tong sumping waktos siang kusabab bakal pinuh. Pangaos tuangeunana rada misil. Tapi pamandanganna alus pisan.,Lunga pacang ngajeng siang sareng 6 keluarga sane terdiri uli anak lingsir lan alit-alit. Iraga polih saung sane doh baduur. Kebayang dong  majalan menek ane ngranayang kenyel pesan. Genahne mula luwung nanging lokasi saung sane joh lan ngranayang kenyel menuju  menek. Saran tiyang yening dot  lunga merika sampunang pas ngajeng tengai krana pasti penuh. Ajin ajengane lumayan mudah. Nanging pemandangane  becik pisan,"jokka lao manre tangesso sibawa 6 sumpulolo iyanaritu tau maloppo na anana'. idi' maneng runtu' bola-bola iya mabelae yase'. tabbajang nitu yako jokka ki lao yase' maga tekkona. anroanna makanja; memeng iyami ro nasaba anroanna bola-bolae maka bela na mappatekko yako jokka ki lao yase'. ko iya', yako meloki lao okkoro aja'na wettu manre tangesso nasaba' manessa ni penno. ellinna anre-anre we maka misil. tapi pattiroanna makessing ladde'",Metu karo mangan awan karo enem keluargo sing isine wong gede karo bocah-bocah. Awakdewe entuk saung sing adoh ning nduwur. Isa mbayangne lah mlaku munggah sing nggarai kesel banget. Panggone pancen apik tapi nggene saung sing adoh lan nggarakke kesel munggah. Tuturku lak arepe mrono ojo pas mangan awan merga mesti bek. Rega panganane lumayan misil. Tapi pemandangane apik banget.,Pai untuak makan siang basamo 6 kaluarga nan tadiri dari urang dewasa jo anak-anak. Kami mandapekan sauang yang jauah di ateh. Tabayang kan jalan ka ateh yang sangaik mamanekan. Tampeknyo emang rancak tapi lokasi sauang yang sangaik jauah dan mamanekan manuju ka ateh. Saran wak kalau ni ka situ jan pas makan siang soalnyo pasti panuah. Harago makanan lumayan misil. Tapi pamandangannyo rancak bana.,"Dinalao mangan di tonga ari rap dohot 6 keluarga adong namagodang dohot angka dakdanak. Sopo na dapot nami tungmansai dao di ginjang. Boi do hupanghilalahon tung mansai loja do sahat tu si.Memang tung mansai uli do nian inganan i, alai unangma pas mangan tonga ari ro tusi ala tung mansai godang do jolma ro tusi. Arga do nian sipanganon disi alai tung mansai uli do inganan i."
374,Steiknya lumayanlah enak. Warung ini cocok buat pelajar atau mahasiswa hehehe karena harganya terjangkau. Untuk makanannya oke kok.,"Steikjih sep mangat. Keude nyoe pah keu aneuk sikula atawa mahasiswa hehehe saweueb yumjih murah, makananjih oke.",Steiknya lumayan lah nyaman. Warung ini cucuk gasan palajar atau mahasiswa hehehe sualnya haraganya tajangkau. Gasan makanannya oke pang.,"Steak's quite good. This eatery is perfect for students or uni kids hehehe cuz the price is affordable. For the food, it's okat, kay",Steikka pendhenan nyaman. Berung ria cocok ghebey moret otabe mahasiswa hehehe polana regghena mude. Ghebey kakananna oke kok.,Steak te sadang ih kamangat. Warung tuh pas akan pelajar atau mahasiswa hehehe awi rega te tejangkau. Akan penginan te pas ih.,Steikna lumayanlah raos. Warung ieu cocog kanggo palajar atawa mahasiswa hehehe kusabab pangaosna kahontal. Kanggo tuangeunna oke kok.,Steikne lumayanlah jaan. Warung ene cocok anggon pelajar utawi mahasiswa hehehe krana pangargane terjangkau. Untuk ajengane oke kok.,steiknya malunra' sah. iyye warung e sicoco' passikolae are'ga mahasiswa hehehe nasaba masempo ellinna. ko anre-anrena makanja' sah,Stike lumayanlah enak. Warung iki cocok kanggo pelajar utawa mahasiswa hehehe amarga regane kajangkau. Kanggo panganane oke kok.,Steiknyo lumayan lamak. Kadai ko cocok untuak pelajar atau mahasiswa hehehe soalnyo haragonyo tajangkau. Untuak makanannyo oke kok.,Steak na i lumayan ma tabo na. Warung on cokcok do tu parsiajar manang mahasiswa hehehe alana argana dang pola arga. Molo sipanganon na oke do.
375,"Menurut saya makan di sini porsinya banyak dan harganya murah, terus makannya cepat datangnya lagi dan tempatnya juga bersih dan luas","Menurot lon ta seumajoh inoe porsi jih le dan yumjih murah, lheuh nyan makananjih bagah troh dan tempatjih gleh sereuta luah","Ujar ulun makan disini takarannya banyak wan haraganya murah, habis tu makannya hancap datangnya wan wadahnya jua barasih wan luas.","In my opinion, eating here will grant you large portions for a cheap price, add to the fact that it's served quickly, too, and the place being clean and wide.","Ca'na engko' kakanan e dinna' taninganna bannyak ban ragghana ngoda, terros kakananna lekkas datangnga pole ban kennenganna bharse tor raja.","Numun aku kuman hetuh porsi te are dengan rega te murah, palus penginan te capat dumah kea tuntang eka barasih kea dengan lumbah.","Numutkeun abdi tuang di dieu porsina seueur bari hargina mirah, teras tuangeunna enggal datangna deuih bari tempatna oge bersih jeung lega.","Seantukan tiang ngajeng driki porsi ne liu lan ajine mudah, terus ajengane enggal kasajiang  lan genahne masih bersih lan jimbar.","Yako iyya' manre okkoe ise'na maka ega sibawa ellinna masempo, nappa anre anre na masija engka sibawa anroanna mapaccing na maloang","Miturutku mangan ana ing kene porsine akeh lan regane murah, banjur panganane cepet tekane maneh lan panggonane uga resik lan amba","Manuruik wak makan di siko porsinyo banyak dan harago murah, tu makanannyo capek lo tibonyo dan tampeknyo barasiah dan lueh","Anggo pandapot hu sipanganon dison tung mansai suk-suk jala mura argana, jala muse hatop do ro nang inganan on pe ias jala tardas
"
376,"Orang indonesia itu butuh pemimpin visioner bukan penghibur,","Ureueng indonesia peureulee keu peumimpin nyang caroeng eu u keue, kon jeuet keu awak peuget khem",Urang indonesia parlu pamimpin nang visioner lain panghibur.,"Indonesian needs a visionary leader, not an entertainer","Oreng indonesia ruah bhuto pemimpin se endik wawasan benni tokang lawak,",Uluh Indonesia tuh perlu pemimpin visioner beken penghibur,"Urang Indonesia peryogi pamingpin anu visioner, sanes tukang ngahibur,","Anak Indonesia punika perlu pemimpin visioner boya penghibur,",ero tau indonesia e perellui pemimping lao yolo pikiranna tennia pa kellong e,Wong indonesia iku butuh pemimpin sing visioner uduk tukang dagel.,"Urang indonesia tu butuah pamimpin visioner bukannyo panghibur,",Halak indonesia i porlu pangomgomi na malo dang pangapuli.
377,"Tong dji menyajikan aneka makan dan minuman, tidak hanya teh. Yang direkomendasikan: Teh poci gula batunya dan nasi goreng","Tong dji dipeusedia meubagoe makanan ngoen ie jep, kon ie te mantong. Nyang le ureueng sarankan: Teh poci gula batu ngon bu gureng","Tong dji manyajiakan bamacam makan wan minuman, kada babaya teh wara. Nang direkomendasiakan: Teh poci gula batunya wan nasi basanga.","Tong Dji serves various food and drinks, not only tea. Recommended ones are: earthenware rock sugar tea and fried rice","Tong dji nyadie'eghi macemma kakanan ben enoman, tak pera' teh. Se esarannaghi: Teh poci ghule betona ben nase' ghuring","Tong dji nyadia are macam panginan tuntang mihup, dia baya teh. Je tedirekomendasikan : Teh Poci gula batu tuntang bari basanga","Tong dji nyuguhkeun rupa-rupa kadaharan jeung inuman, lain ukur teh. Nu disarankeun: teh Poci gula batuna sareng sangu goreng","Tong diji nyajiang aneka ajengan lan minuman, ten teh dogen. Sane direkomendasikan: Teh poci gula batune lan nasi goreng",tong dji mappassadia maddupa dupang anre-anre sibawa inung-inungeng. tennia bawang teng. iya kaminang yajjulluangnge: teng poci golla batu na sibawa wette nanre,"Tong dji nyajikne rena-rena panganan lan omben, ora mung teh. Sing direkomendasikne: Teh poci gula watune lan sega goreng","Tong dji manyajian baragam makan dan minuman, ndak cuma teh. Yang direkomendasian: Teh poci gulo batunyo dan nasi goreang.","Tong Dji ragam ni sipanganon dohot siinimon, dang holan teh. Nadisarnhon: Teh poci gula batuna dohot nasi goreng."
378,"Saya bukanlah penggemar berat kambing karena tidak tahan dengan baunya, tapi makan di tempat ini, saya seperti tidak sedang makan kambing! Dagingnya empuk, enak dan tidak berbau. Suasana restonya pun enak dan nyaman","Lon kon ureung Nyang galak that sie kameng sebab hana ek lon com bee jih, tapi 'oh ta pajoh inoe lon lagee kon teungoh pajoh sie kameng! Sie lumpok dan hana meubee. Suasana rumoh makan pih hayeuE dan meuseuniya.","Ulun kada pang katuju banar kambing gara-gara kada tahan lawan baunya, tapi makan di wadah ini, ulun nang kaya kada lagi makan kambing! Dagingnya hapuk, nyaman wan kada babau. Suasanya ristunya gin nyaman wan nyaman.","I am not a huge fan of goats since I can't stand the smell, but while eating in this place, it's as if I wasn't eating goat at all! The meat's tender, tasty, and odourless. The resto's atmosphere, too, is nice and comfy.","Engko' banni senneng ka embi' amargha ta' tahan bauna, tape ngakan e kennengngan ria, engko' ta' enga'ngakan embik! daghingnga armus, nyaman ban ta' abau. Pangabasan restona pon lerres ban nyaman.","Aku beken penggemar behat kambing karana diak ulih dengan ewau te, baya kuman uka hetuh, aku kilau diak sadang kuman kambing! Isi te hapuk, mangat dengan diak behewau. Suasana resto te gin mangat dengan sanang jatunti tandingan","Abdi sanes nu resep embe kusabab teu tahan kana bauna, mung tuang di tempat ieu, abdi sapertos teu nuju tuang embe! Dagingna hipu, raos, sareng teu aya bauna. Suasana restona ge raos sareng merenah.","Tiang tusing penggemar baat kambing krana tusing demen ajan bon e, utawi ngajeng ring genah puniki, tiang care tusing sedeng ngajeng kambing! Be ne empuk, jaen lan tusing mebo. Suasana restone pun jaen lan adem.","Iya' tennia ka' tau poji ladde' i bembe' e nasaba de utahang mimmau i baunna, tapi manre ri okko anroangnge, pada siseng ko de wanre bembe'! Juku na malemma', malunra' sibawa de nabbau. Appeneddingenna resto e maka kanja' na mappenyameng","Aku udu uwong sing seneng banget wedhus amarga ora betah karo ambune, nanging mangan ing kene, aku kaya ora lagi mangan wedhus! Iwake empuk, enak lan ora mambu. Suasana restone uga enak lan nyaman","Awak bukanlah penggemar barek kambiang dek ndak tahan jo baunnyo, tapi makan di tampek ko, wak mode ndak sadang makan kambiang! Dagiangnyo labuak, lamak, dan ndak babaun, Suasana restonyo pun lamak dan nyaman","Anggo ahu dang apala hu halomohon anggo jagal hambing alani angir na, alai mangan dison saehira na so mangallang jagal hambing do iba. Jagal nai hapur, tabo jala dang angir. Jala ruma makan on pe denggan jala pasonanghon roha
"
379,"Saya mau tutup kartu kredit dari beberapa bulan lalu, nih.",Lon neuk top kartu kredit dari padum buleuen nyang ka leupah,Ulun handak manutup kartu kridit mulai berapa bulan lalu dah nih. ,"I've been wanting to cancel my credit card for a few months now, y'see.","Engko' enda' notop kartu kredit dari barampa bulan dhullu, ria.","Aku handak nutup kartu kredit bara pire pire bulan ji halau, tuh.","Abdi hoyong nutup kartu kiridit ti sababaraha sasih ka pengker, yeuh.","Tyang dot nutup kartu kredit ring mekudang bulan lalu, ne.","Iya' maelo ka' mattutu' kartu kredi' wettunna mopa siaganna uleng labe' e, ","Aku arep nutup kartu kredit saka sasi-sasi wingi, ki.","Awak nio nutuik kartu kredit dari bara bulan patang, mah","naeng tutuponhu na ma kartu kredit sian piga-piga bulan na lewat, boh."
380,Yang benar-benar real tidak ada settingan,Yang betoi-betoi hana seumenget,Nang bujur-bujur nyata kadida diulah-ulah,"The truly real ones, no set-ups",Se bendher-bendher asli tadek se congucoan,Ji bujur bujur nyata jatunti tege ji matur ah.,Nu bener-bener asli teu aya settingan,Sekadi sane becik-becik sujatine nenten wenten settingan.,"Attongeng tongengeng ladde, de gaga atakabborokeng.",Apa sek senyatane ora ana setelan,Yang subana-bana real indak ado settingan,Natutu toho dangadong na dibahen bahen.
381,Duh indosat mengecewakan. Aku mau daftar baru kok malah kena tarif per kb? Pulsa berkurang drastis,keucewa ngon indosat. lon keuneuk daftar pakoen ka keunong tarif per kb? Pulsa le meukureueng,Nah indosat mambari muar. Aku handak mandaftar pa malah kana tarif per kb? Pulsa bakurang banar.,"Man, Indoesat is so disappointing. I was just about to register but they charged me per kb? My credits just got drained",Duh indosat tak masenneng. Engkok bhuru adaftara mak ekenning tarif per kb? Pulsa napak luang,Akay indosat mawi kecewa. Aku handak daftar haru boh buah tarif per kb? Pulsa daras kekurang,Duh indosat nguciwakeun. Abdi bade nembean daftar kalahka keuna tarif per kb? Pulsa ngurangan drastis,Duh indosat ngaenang kaciwa. Tiang meled naftar baru dados malah kenina tarif per kb? Pulsane makuangan liu.,aih indosat e je' mappa ja nyawa. nappaka melo mendaftara' na pakenna na' tarif per kb? nattap kurang ladde' bawang pulsaku,Duh indomaret nguciwakake. Aku arep ndaftar anyar kok malah kena tarif per kb? Pulsa ngurang drastis,Ndeh indosat mangacewaan. Awak nio daftar baru kok malah kanai tarif per kb? Pulsa bakurang drastis,Agoh indosat mangecewahon. Ahu naeng mandaftar nabaru boasa gabe mambayar per kb? Pulsa moru toppu.
382,Aku memesan jaket gunung eiger,Lon peusan jaket gunong eiger,Ulun mamasan jaket gunung eiger,I ordered a mountain jacket from Eiger,Engkok messen jaket ghunung eiger,Aku mameteh jaket gunug eiger,Abdi mesen jaket gunung eiger,Tiang mesen jiket gunung eiger,Iya' massuroangnga' jake' bulu eiger,Aku mesen jaket gunung eiger,Wak mamasan jaket gunuang eiger,au manuhor baju panas eiger
383,"Pelayanan sih memang cepat tapi masakannya asal asalan saja, asal jadi asal matang saja, pesan udang saos tiram, sama saja dengan masakan kepiting saos padang, tang untuk kepiting tidak diberikan jika tidak diminta.","Peulayanan memang bagah tapi masakanjih hana jeulah, keu masak mantong, peusan udeueng saos tiram, saban cit ngon masakan bieng saos padang, tang keu bieng hana jijok meunyo hana talakee.","Palayanannya dasar hancap tapi masakannya satatayuhnya haja, asal jadi asal masak haja, mamasan hundang saus tiram, sama haja lawan masakan kapiting saus padang, tang gasan kapiting kada dibari jaka kada minta.","The service was indeed quick, but the food was served carelessly, like they just wanted to push them out without care. I ordered shrimp with oyster sauce, and it was just the same crab as the one with padang sauce. The pliers for the crab was also not given unless we asked.","Pelayananna jhet lekkas sih tape kakananna ben-saromben bhei, pokok deddhi pokok massak bhei, messen odeng saos tiram, pade bhei bik massa'an kopeteng saos padang, tang ghebey kopeteng tak eberrik mun tak epenta.","Pelayanan te puna capat baya pekasak te berangai -rangai ih, berangai ampi berangai matang ih, meteh undang saus tudai, sama ampi dengan kepiting saus padang, tang akan kepiting diak nengak amun diak belaku.","Palayan na sih heeuh enggal mung tuangeunna asal-asalan we, asal jadi asal asak we, mesen udang saos tiram, sami wae sareng masakan kepiting saos padang, tang kanggo kepiting teu dipasihan upami teu dipenta.","Pelayanane mula genjang nanging masakanne awag-awagina, kewala lebeng dogen, mesen udang saos tiram, patuh dogen ajak masakan kapiting saos padang, tang anggon kapiting tusing baange yening tusing nagih.","Appatalakenna maka sa sija' tapi nasu-nasunna assala jaji mi bawang, assala jaji assala manasu bawang, massuroang urang saos tiram, pada siseng sibawa nasu bukkang saos padang, tang laipakewe okko bukkang e de nawerengngi narekko de ta millau. ","Pelayanane sih memang cepet nanging masakane ngasal-ngasal wae, ngasal dadi ngasal mateng, pesen urang saos tiram, padha wae karo panganan yuyu saos padang, tang kanggo yuyu ora diwenehi yen ora dijaluk.","Palayanan sih emang capek tapi masakannyo asal-asalan se, asal jadi asal masak se, pasan udang saus tiram, samo se jo masakan kapitiang saus padang, tang untuak kapitiang indak diagiah kok indak dimintak.","Panghobasionna hatop do alai loppaanna dang marmusmus, asal adong asak masak, nipangido udang saus tiram, sarupa dohot pangaploppaan ni kepiting saus padang, tang tu kepiting dang pola dilehon molo dang nijalo."
384,"Restoran dengan konsep tempat makan yang sangat asri, apalagi kalau malam suasananya sangat indah dengan lampu lampunya, makanannya pun enak rasanya. Cocok untuk tempat kumpul keluarga.","Restoran ngon konsep rumoh makan nyang rindang, peue lom meunyo malam suasana jih cukop lagak meutamah ngon lampu-lampu, makanan pih mangat. Pah that untuk meusapat ngon keuluarga.","Risturan wan konsep wadah makan nang asri banar, apalagi amun malam hawanya bengkeng banar wan lampu-lampunya, makanannya gin nyaman rasanya. Cucuk gasan wadah kumpul kaluarga","A restaurant with the concept of beautiful dining experience, especially at nighttime with its lovely atmosphere thanks to their night lights. The food is just as good. Perfect for family gatherings.","Restoran bik konsep kennengngan ngakan se asri sarah, apa pole mun malem suasanana lebur sarah bik dhemar-dhemarra, kakananna nyaman kiya rassana. Cocok ghebey kennengngan akompol bik taretan.","Restoran dengan konsep eka kuman asri tutu, apalagi mun hamalem suasana te bahalap tutu dengan lampu lampu, panginan te mangat angat ah. Cocok akan eka kumpul keluarga.","Restoran anu konsep tempat tuangna asri pisan, hususna wengi suasana anu endah kalayan lampu-lampuna, tuangeunana oge ngeunah rasana. Cocog pikeun tempat kempel kulawarga.","Restoran ajak konsep tongos ngajeng ane asri sajan, apa buin yen peteng suasanane indah sajan aji lampu lampune, ajenganne pun jaan asane. Cocok untuk tongos kumpul keluarga.","Restorang pakewe konse' anroang manre makae paccing, lebbipi narekko wenni i appeneddingenna maka bello nasaba' lampu lampu na, anre-anre na aga maka lunra' rasana. Sikenangeng laiyonri sikkumpulu' sibawa sumpuloloe.","Restoran nganggo konsep panggon mangan sing asri banget, apa meneh lak wengi kahanane apik banget karo lampu lampune, panganane uga enak rasane. Cocok dinggo panggon nglumpuk karo keluarga.","Restoran jo konsep tampek makan yang sangaik asri, apolai kalau malam suasananyo sangai ancak jo lampu lampunyo, makanannyo juo lamak rasonyo. Cocok untuak tampek kumpua kaluarga.","Restoran dohot konsep inganan parmanganon namansai asri, apalagi molo borngin suasanana mansai bagak dohot lampu lampuna, sipanganonna pe tabo daina. Cokcok ma gabe inganan marpungu dohot keluarga."
385,Pertama coba karena ulasan beberapa orang tapi ternyata rasanya biasa saja. Sepiring 30 ribu. Sulit cari tempat duduk.,Phon that coba sebab jipeugah-peugah le gob tapi rupajih rasa biasa mantong. 1 pingan 30 ribee. Payah bak tamita teumpat duek.,Paawalan mancubai gegara ujar babarapa urang tagal sakalinya rasanya biasa haja. Sapiring 30 ribu. Ngalih bacarian wadah duduk,"First tried this because of other people's reviews, but turns out the taste was nothing special. 30 thousand for a plate. Seat was hard to find",Pertama nyobak polana ulasan beberempa oreng tape ternyata rassana biasa bhei. Sapereng 30 ebu. Sarah nyare katoju'en. ,Pertama nyuba awi pander papire uluh baya angat ah biasa ih. Ije piring telu puluh ribu. Bahali gau eka munduk.,Kahiji cobi kusabab ulasan sababaraha jalmi mung nyatana rasana biasa wae. Sapiring 30 rebu. Hese milarian tempat diuk.,Pertama kacoba krana sasurat ring anake liu utawi rasane biase dogen. Apiring 30 tali . Keweh ngalih tongos magenah.,bunge' ucobana nasaba pau-paunna tauwe tapi biasami pale rasana. sipenne 30 sebbu. masussa runtu onroang tudang,Kapisan njajal amarga ulasan pirang-pirang uwong nanging jebule rasane biasa wae. Sakpiring 30 ewu. Engel nggolek panggonan njagong.,Partamo cubo dek ulasan babarapo urang tapi kironyo rasonyo biaso se. Sapiriang 30 ribu. Payah cari tampek duduak.,parjolo sahalai hu suba ala ulasan ni piga - piga halak alai na sitohona samal hian  do. sapiring 30 ribu. maol mangalului inganan laho hundul.
386,"Tadi katanya suruh tunggu saja sampai sms diterima, sudah seharian tidak ada juga!","Bunoe dipeugah yue preh mantong sampoe na troh sms, nyoe ka siuroe peunoh hana troh cit lom!","Tadi ujarnya disuruh hadangi haja sampai sms ditarima, sudah saharian kadada jua!","I was told to just wait for the SMS, it's been a day and I still got nothing!","Ghalla' ca'na soro dante' bhai sampe' sms e tarema, la saarean tada' kia!","Endau kuan ye suhu tunggu ih sampai sms jadi tame, jadi ji jandau jatunti kea!","Nembe saurna dipiwarang nunggu wae dugi sms ditampi, tos sadinten teu aya wae!","Tunian kone orahine ngantosang dogen kanti sms e katerima, sampun awaian tusing ade masih! ","Nangnge' makkadai attajenni lettu sms e tama, siessoni na deggaga mopi!","Nembe jarene dikon ngenteni wae nganti sms diterima, wis sedina uga ora ana!","Tadi keceknyo suruah tunggu se sampai sms ditarimo, lah saharian ndak ado jo!","Nagkiningan didok paima ma sahat tu na ro sms, hape nga sadari manipat laos so adong tong!"
